City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
61,Port Alfred,-33.59,26.89,72.9,22,0,10.6,clear sky,ZA,2020-08-02 20:19:10
62,New Norfolk,-42.78,147.06,44.01,87,84,4.61,light rain,AU,2020-08-02 20:19:10
63,Bengkulu,-3.8,102.27,75.18,91,32,3.15,light rain,ID,2020-08-02 20:19:10
64,Alekseyevsk,57.84,108.35,55.89,77,0,6.44,clear sky,RU,2020-08-02 20:19:10
65,Rio Grande,-32.03,-52.1,71.6,73,100,6.93,overcast clouds,BR,2020-08-02 20:19:11
66,Hobart,-42.88,147.33,46.99,75,20,8.05,few clouds,AU,2020-08-02 20:17:40
67,Safakulevo,54.99,62.54,74.75,44,96,15.55,overcast clouds,RU,2020-08-02 20:19:11
68,Yellowknife,62.46,-114.35,77.0,60,75,18.34,broken clouds,CA,2020-08-02 20:18:04
69,Grand Gaube,-20.01,57.66,66.99,77,40,3.0,scattered clouds,MU,2020-08-02 20:19:11
70,Vila,42.03,-8.16,72.0,60,100,5.01,overcast clouds,PT,2020-08-02 20:19:11
71,Mataura,-46.19,168.86,44.58,95,38,2.08,scattered clouds,NZ,2020-08-02 20:19:11
72,Boa Vista,2.82,-60.67,86.0,58,40,8.05,scattered clouds,BR,2020-08-02 20:14:14
73,Zapolyarnyy,69.42,30.81,51.8,76,75,13.87,broken clouds,RU,2020-08-02 20:19:11
74,Amasia,40.65,35.83,62.6,72,20,12.75,few clouds,TR,2020-08-02 20:19:12
75,Avarua,-21.21,-159.78,71.6,68,0,2.24,clear sky,CK,2020-08-02 20:19:12
76,Lebu,-37.62,-73.65,55.4,85,38,8.32,scattered clouds,CL,2020-08-02 20:19:12
77,Lorengau,-2.02,147.27,82.08,79,93,10.78,light rain,PG,2020-08-02 20:19:12
78,Hilo,19.73,-155.09,82.4,58,75,5.82,broken clouds,US,2020-08-02 20:19:12
79,Dasoguz,41.84,59.97,80.6,44,0,4.7,clear sky,TM,2020-08-02 20:19:12
80,Korla,41.76,86.15,79.0,63,91,4.0,overcast clouds,CN,2020-08-02 20:19:12
81,Hargeysa,9.56,44.06,73.62,49,100,24.94,overcast clouds,SO,2020-08-02 20:19:12
82,Touros,-5.2,-35.46,78.8,74,40,12.75,scattered clouds,BR,2020-08-02 20:19:12
83,Chuy,-33.7,-53.46,64.0,85,100,4.97,overcast clouds,UY,2020-08-02 20:19:12
84,Ostrovnoy,68.05,39.51,50.25,87,100,10.78,overcast clouds,RU,2020-08-02 20:19:12
85,Iquique,-20.22,-70.14,62.6,63,20,14.99,few clouds,CL,2020-08-02 20:19:12
86,Gualmatan,0.92,-77.57,60.8,51,20,17.22,few clouds,CO,2020-08-02 20:19:13
87,Thanh Hoa,19.8,105.77,76.1,95,100,3.33,overcast clouds,VN,2020-08-02 20:19:13
88,Fortuna,40.6,-124.16,68.0,86,10,5.01,clear sky,US,2020-08-02 20:19:13
89,Portland,45.52,-122.68,82.99,47,75,5.82,broken clouds,US,2020-08-02 20:15:13
90,Umm Kaddadah,13.6,26.69,77.85,68,4,15.66,clear sky,SD,2020-08-02 20:19:13
91,Hokitika,-42.72,170.97,50.76,90,100,3.87,light rain,NZ,2020-08-02 20:19:13
92,Sangar,63.92,127.47,52.43,71,0,3.42,clear sky,RU,2020-08-02 20:19:13
93,Horadiz,39.45,47.34,75.2,83,40,6.93,scattered clouds,AZ,2020-08-02 20:19:13
94,Whyalla,-33.03,137.58,48.2,93,40,5.82,scattered clouds,AU,2020-08-02 20:19:13
95,Belaya Gora,68.53,146.42,55.89,60,99,7.65,overcast clouds,RU,2020-08-02 20:19:13
96,Mount Gambier,-37.83,140.77,44.6,81,90,9.17,overcast clouds,AU,2020-08-02 20:19:13
97,Forbes,-33.38,148.02,42.01,83,100,2.95,overcast clouds,AU,2020-08-02 20:19:13
98,Bredasdorp,-34.53,20.04,48.2,93,0,4.7,clear sky,ZA,2020-08-02 20:19:13
99,Cape Town,-33.93,18.42,57.99,93,0,10.29,clear sky,ZA,2020-08-02 20:19:13
100,Dabhoi,22.18,73.43,83.12,80,96,9.53,overcast clouds,IN,2020-08-02 20:19:14
101,Nome,64.5,-165.41,61.0,71,1,8.05,clear sky,US,2020-08-02 20:19:14
102,Talnakh,69.49,88.4,55.4,76,98,11.18,overcast clouds,RU,2020-08-02 20:19:14
103,Nikolskoye,59.7,30.79,59.0,87,75,2.24,light intensity shower rain,RU,2020-08-02 20:19:14
104,Magistralnyy,56.17,107.45,60.6,66,3,9.82,clear sky,RU,2020-08-02 20:19:14
105,Hobyo,5.35,48.53,79.14,72,80,25.5,broken clouds,SO,2020-08-02 20:19:14
106,Muscat,23.61,58.59,91.4,70,83,3.36,broken clouds,OM,2020-08-02 20:19:14
107,Bambous Virieux,-20.34,57.76,69.8,73,75,13.87,broken clouds,MU,2020-08-02 20:19:14
108,Saint-Georges,12.06,-61.75,86.0,74,20,17.22,few clouds,GD,2020-08-02 20:15:59
109,Juneau,58.3,-134.42,62.6,82,75,12.75,broken clouds,US,2020-08-02 20:19:14
110,Sao Filipe,14.9,-24.5,78.67,87,87,6.53,overcast clouds,CV,2020-08-02 20:19:15
111,Savannah Bight,16.45,-85.85,84.18,74,75,6.15,broken clouds,HN,2020-08-02 20:19:15
112,Clyde River,70.47,-68.59,50.0,81,40,6.93,scattered clouds,CA,2020-08-02 20:19:15
113,Mahebourg,-20.41,57.7,69.8,73,75,13.87,broken clouds,MU,2020-08-02 20:19:15
114,Vestmanna,62.16,-7.17,50.0,100,100,13.87,drizzle,FO,2020-08-02 20:19:15
