City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
219,Tamiahua,MX,88.34,few clouds,21.27,-97.45,Mission Of The Sun Hotel
222,Laguna,US,89.01,broken clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
223,Ambon,ID,77.2,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
224,Ca Mau,VN,77.83,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
227,Cozumel,MX,89.6,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
230,Akyab,MM,83.34,light rain,20.15,92.9,Hotel Memory
232,Kindu,CD,79.5,broken clouds,-2.95,25.95,Hotel Karibu
236,Mairwa,IN,88.5,overcast clouds,26.23,84.15,Shri Krishna Dharmshala
238,Bonito,BR,88.09,clear sky,-21.12,-56.48,Marruá Hotel
239,Gallup,US,90.0,clear sky,35.53,-108.74,El Capitan Motel
244,Meadow Lake,US,90.0,broken clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
253,Faanui,PF,78.46,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
254,Sao Jose Da Coroa Grande,BR,75.61,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
255,Pulandian,CN,75.2,mist,39.4,121.97,HR East Hotel
259,Lishui,CN,75.2,clear sky,28.46,119.91,Bayi Hotel
263,Shahpur,IN,75.25,light rain,16.7,76.83,Sai Deluxe Shahapur
264,Vaitape,PF,79.3,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
270,Panama City,PA,86.0,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
287,Katsuura,JP,75.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
288,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
289,Loreto,MX,75.54,overcast clouds,22.27,-101.97,José de Jesús Velásquez mora
293,Pacific Grove,US,75.99,scattered clouds,36.62,-121.92,Lovers Point Inn
297,Lethem,GY,84.07,light rain,3.38,-59.8,Savannah Inn
298,Gizo,SB,80.98,light rain,-8.1,156.84,Imagination Island
299,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
310,Hit,IQ,88.18,clear sky,33.64,42.83,Aboody Alhachem
312,Jian,CN,79.93,clear sky,27.12,114.98,Luling International Hotel
314,Puerto Baquerizo Moreno,EC,75.2,broken clouds,-0.9,-89.6,Hotel los Algarrobos
316,Ishigaki,JP,81.86,heavy intensity rain,24.34,124.16,Hotel Peace Land Ishigakijima
318,Inirida,CO,84.92,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
319,Sorong,ID,78.33,light rain,-0.88,131.25,The Waigo Hotel
321,Sirjan,IR,79.39,scattered clouds,29.45,55.68,هتل عطرسیب سیرجان
327,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
329,Moussoro,TD,75.69,heavy intensity rain,13.64,16.49,Pharmacie alnadja Moussoro
330,Maceio,BR,75.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
332,El Dorado,US,87.8,clear sky,33.21,-92.67,"Country Inn & Suites by Radisson, El Dorado, AR"
334,Cavalcante,BR,81.28,clear sky,-13.8,-47.46,Pousada Vila dos Ipês
336,Marawi,PH,77.0,light rain,8.0,124.29,Salihmaruhom
337,Manolas,GR,84.2,few clouds,38.05,21.35,Royal Club Hotel
342,Kilindoni,TZ,76.68,light rain,-7.91,39.67,Bustani B&B
343,Ternate,ID,78.8,light rain,0.8,127.4,Grand Dafam Bela Ternate
345,Jacksonville,US,89.6,moderate rain,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
347,Sheopur,IN,84.74,few clouds,25.67,76.7,Hotel Bismillah
349,Karimpur,IN,83.46,overcast clouds,23.97,88.62,gabrudanga jumma masjid
350,Kismayo,SO,77.07,broken clouds,-0.36,42.55,Agan-Hotel
351,Wajir,KE,77.5,scattered clouds,1.75,40.06,Al- Amin lodge
356,Bandarbeyla,SO,78.01,clear sky,9.49,50.81,REER XOOSHLE GROUP
359,Shieli,KZ,80.2,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
360,Acapulco,MX,87.8,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
363,Acarau,BR,82.36,clear sky,-2.89,-40.12,castelo pizzaria
